date,open,close,high,low,volume,amount,code,name
2021-09-09,644.45,642.97,646.53,616.87,132872,1117668848.0,002179,中航光电
2021-09-10,642.97,645.93,657.5,619.98,140697,1197539568.0,002179,中航光电
2021-09-13,645.64,627.77,645.71,620.8,90385,755196640.0,002179,中航光电
2021-09-14,627.77,614.57,637.63,613.68,91602,760556704.0,002179,中航光电
2021-09-15,614.05,629.92,635.55,601.52,112775,935170880.0,002179,中航光电
2021-09-16,626.66,621.61,646.6,619.91,102088,862374032.0,002179,中航光电
2021-09-17,621.61,632.07,632.59,602.04,73801,608998896.0,002179,中航光电
2021-09-22,623.99,639.63,648.83,617.02,85456,726988272.0,002179,中航光电
2021-09-23,639.26,652.24,654.76,635.55,82448,713126832.0,002179,中航光电
2021-09-24,653.35,645.79,665.66,645.19,63829,555681232.0,002179,中航光电
2021-09-27,638.59,620.8,644.38,611.68,65461,545496160.0,002179,中航光电
2021-09-28,620.8,644.45,648.16,616.28,68711,582905408.0,002179,中航光电
2021-09-29,638.07,623.54,641.41,616.28,54437,454303456.0,002179,中航光电
2021-09-30,623.69,616.57,638.89,614.57,69331,577000368.0,002179,中航光电
2021-10-08,623.69,598.41,633.33,593.73,71113,578299200.0,002179,中航光电
2021-10-11,597.81,617.39,632.96,597.81,90918,749986912.0,002179,中航光电
2021-10-12,613.23,593.59,626.51,580.02,83670,666509632.0,002179,中航光电
2021-10-13,586.62,605.67,608.93,574.83,82101,646282224.0,002179,中航光电
2021-10-14,603.82,632.14,640.52,601.15,90049,754434464.0,002179,中航光电
2021-10-15,641.49,623.47,641.49,616.13,57401,476393568.0,002179,中航光电
2021-10-18,620.58,647.42,649.49,620.43,107206,913067872.0,002179,中航光电
2021-10-19,647.42,647.79,649.42,633.7,56973,485832960.0,002179,中航光电
2021-10-20,645.86,653.35,657.65,638.52,56689,492408432.0,002179,中航光电
2021-10-21,649.12,638.67,649.12,629.55,59727,506673616.0,002179,中航光电
2021-10-22,629.84,617.39,640.82,608.86,74632,616873792.0,002179,中航光电
2021-10-25,620.72,640.37,645.93,610.19,81968,684407648.0,002179,中航光电
2021-10-26,640.37,649.49,663.14,627.55,86395,743312272.0,002179,中航光电
2021-10-27,659.36,662.25,664.47,652.09,85240,748360688.0,002179,中航光电
2021-10-28,658.98,663.36,674.78,650.83,65118,576374752.0,002179,中航光电
2021-10-29,660.99,691.17,698.21,654.83,103006,931758848.0,002179,中航光电
2021-11-01,691.24,694.65,722.31,682.12,118139,1107016528.0,002179,中航光电
2021-11-02,699.32,699.4,714.89,696.21,86284,812705664.0,002179,中航光电
2021-11-03,699.32,709.92,714.52,690.5,69174,650996560.0,002179,中航光电
2021-11-04,704.51,704.36,714.0,698.51,62748,589490272.0,002179,中航光电
2021-11-05,705.25,697.32,713.78,693.98,51195,479646768.0,002179,中航光电
2021-11-08,690.42,701.32,707.4,688.72,45585,424851632.0,002179,中航光电
2021-11-09,701.4,711.33,718.6,694.13,90340,851333552.0,002179,中航光电
2021-11-10,709.55,718.82,745.89,705.85,86296,834289488.0,002179,中航光电
2021-11-11,711.56,719.12,734.84,711.56,62424,603181408.0,002179,中航光电
2021-11-12,719.12,751.82,759.46,714.0,96688,961797248.0,002179,中航光电
2021-11-15,751.74,736.47,786.82,725.13,102876,1026675440.0,002179,中航光电
2021-11-16,727.5,711.41,746.7,703.62,90299,864908480.0,002179,中航光电
2021-11-17,711.41,741.88,746.63,693.76,88935,858206288.0,002179,中航光电
2021-11-18,739.88,768.72,785.11,725.64,110115,1119639456.0,002179,中航光电
2021-11-19,768.87,751.23,771.99,743.0,89662,903269712.0,002179,中航光电
2021-11-22,751.23,761.61,771.99,735.8,65320,657297888.0,002179,中航光电
2021-11-23,758.12,750.48,766.06,741.44,55554,558528048.0,002179,中航光电
2021-11-24,749.74,734.91,763.31,732.54,41692,414597648.0,002179,中航光电
2021-11-25,733.95,720.08,745.59,717.86,54402,528616576.0,002179,中航光电
2021-11-26,720.53,725.27,738.03,720.53,44356,431708208.0,002179,中航光电
2021-11-29,719.19,747.3,757.16,716.75,66652,662757520.0,002179,中航光电
2021-11-30,749.0,770.5,788.67,747.52,79236,814524000.0,002179,中航光电
2021-12-01,770.06,755.97,770.43,749.74,59789,606322400.0,002179,中航光电
2021-12-02,757.16,750.71,765.68,744.55,42519,425816576.0,002179,中航光电
2021-12-03,749.74,774.43,777.77,746.11,52953,538573104.0,002179,中航光电
2021-12-06,771.99,771.99,791.41,760.87,43312,447575344.0,002179,中航光电
2021-12-07,773.77,737.36,777.47,727.5,92226,912325424.0,002179,中航光电
2021-12-08,736.99,729.35,744.03,716.38,88415,859760592.0,002179,中航光电
2021-12-09,724.46,712.67,733.95,711.26,91208,873090080.0,002179,中航光电
2021-12-10,711.33,715.49,729.35,703.7,114621,1091352496.0,002179,中航光电
2021-12-13,714.89,704.51,715.49,696.58,112643,1056080624.0,002179,中航光电
2021-12-14,704.51,717.04,720.45,695.91,81842,776251584.0,002179,中航光电
2021-12-15,717.71,708.59,717.71,705.7,48018,455482288.0,002179,中航光电
2021-12-16,705.85,738.62,741.59,705.33,82879,805013216.0,002179,中航光电
2021-12-17,737.8,731.5,737.8,722.53,49877,485703616.0,002179,中航光电
2021-12-20,731.87,723.79,746.63,718.67,57761,563987568.0,002179,中航光电
2021-12-21,720.08,724.75,731.21,709.33,56349,542119488.0,002179,中航光电
2021-12-22,724.75,714.97,728.24,712.0,55750,534064560.0,002179,中航光电
2021-12-23,715.63,728.76,748.11,712.67,70261,688091936.0,002179,中航光电
2021-12-24,728.76,742.48,745.89,722.38,51751,509077696.0,002179,中航光电
2021-12-27,735.36,727.5,749.59,715.56,60250,585425968.0,002179,中航光电
2021-12-28,725.94,722.46,733.36,716.45,56878,548047184.0,002179,中航光电
2021-12-29,718.3,733.28,736.62,714.97,60896,590822944.0,002179,中航光电
2021-12-30,734.91,747.89,758.05,722.53,88460,884677440.0,002179,中航光电
2021-12-31,749.74,753.9,761.61,740.4,65666,659453664.0,002179,中航光电
2022-01-04,753.9,733.43,757.38,724.31,61807,605465536.0,002179,中航光电
2022-01-05,733.28,705.25,739.36,688.79,110098,1032377952.0,002179,中航光电
2022-01-06,697.84,701.03,723.72,694.8,75064,706029568.0,002179,中航光电
2022-01-07,705.25,694.87,708.37,694.13,61468,572985248.0,002179,中航光电
2022-01-10,683.01,681.53,697.69,650.68,111331,1006507824.0,002179,中航光电
2022-01-11,681.53,642.6,688.5,632.14,138274,1192623648.0,002179,中航光电
2022-01-12,644.45,671.15,672.48,644.45,91347,805025632.0,002179,中航光电
2022-01-13,669.44,662.02,676.71,653.2,77128,684806960.0,002179,中航光电
2022-01-14,667.96,673.89,683.01,659.5,55742,500463888.0,002179,中航光电
2022-01-17,661.36,686.86,704.81,660.1,68338,625777648.0,002179,中航光电
2022-01-18,697.32,686.12,712.67,675.82,69858,645245056.0,002179,中航光电
2022-01-19,683.01,663.14,690.42,656.91,66474,591511472.0,002179,中航光电
2022-01-20,666.92,646.31,671.52,634.81,125738,1077443904.0,002179,中航光电
2022-01-21,630.22,626.66,638.52,597.37,152425,1260950160.0,002179,中航光电
2022-01-24,627.92,648.38,649.64,620.72,72687,621549776.0,002179,中航光电
2022-01-25,648.83,648.16,664.47,645.93,67231,586940800.0,002179,中航光电
2022-01-26,648.46,635.03,656.76,614.27,157940,1321629264.0,002179,中航光电
2022-01-27,635.03,641.34,663.88,627.03,100160,867706320.0,002179,中航光电
2022-01-28,650.83,665.06,682.19,642.3,107490,948148784.0,002179,中航光电
2022-02-07,675.59,652.09,688.79,650.38,67403,594359104.0,002179,中航光电
2022-02-08,652.01,633.7,658.54,625.02,62630,530938000.0,002179,中航光电
2022-02-09,633.7,664.84,669.96,631.25,81675,715735392.0,002179,中航光电
2022-02-10,665.95,644.23,685.23,635.55,85635,750564336.0,002179,中航光电
2022-02-11,639.85,631.99,654.39,630.44,57969,494633024.0,002179,中航光电
2022-02-14,635.55,632.29,649.64,621.54,62273,527415168.0,002179,中航光电
2022-02-15,632.29,649.57,652.31,627.69,53533,457579968.0,002179,中航光电
2022-02-16,647.42,629.84,648.83,613.16,81661,685088960.0,002179,中航光电
2022-02-17,627.92,627.1,630.59,614.42,69401,574773440.0,002179,中航光电
2022-02-18,624.06,623.25,625.91,615.53,41813,345875184.0,002179,中航光电
2022-02-21,619.69,624.51,635.26,617.76,50089,416153968.0,002179,中航光电
2022-02-22,623.47,614.72,628.14,601.67,83064,677185680.0,002179,中航光电
2022-02-23,610.34,645.19,649.57,610.19,97403,823919024.0,002179,中航光电
2022-02-24,645.12,650.68,665.51,638.96,100036,866032624.0,002179,中航光电
2022-02-25,638.22,645.19,659.58,638.22,52821,455564592.0,002179,中航光电
2022-02-28,648.9,664.25,675.96,645.42,83656,739336336.0,002179,中航光电
2022-03-01,670.92,666.77,678.12,658.91,57988,517674688.0,002179,中航光电
2022-03-02,668.99,662.91,672.63,658.61,32248,284945280.0,002179,中航光电
2022-03-03,664.47,651.94,664.47,645.93,32535,283269840.0,002179,中航光电
2022-03-04,643.71,648.53,657.72,643.71,31304,270813728.0,002179,中航光电
2022-03-07,648.53,640.74,655.57,622.21,60624,516999264.0,002179,中航光电
2022-03-08,646.45,620.13,651.87,619.24,58761,493599072.0,002179,中航光电
2022-03-09,618.2,631.1,639.48,607.97,87392,724961568.0,002179,中航光电
2022-03-10,642.23,654.17,662.84,642.23,66939,585080992.0,002179,中航光电
2022-03-11,652.61,649.64,654.09,633.4,36067,309212960.0,002179,中航光电
2022-03-14,649.57,653.35,677.82,644.45,75708,669930896.0,002179,中航光电
2022-03-15,649.64,642.97,667.73,638.52,57172,496988352.0,002179,中航光电
2022-03-16,648.6,665.58,668.18,631.4,60394,524225792.0,002179,中航光电
